run_accession,tax_id,scientific_name,sample_alias,sample_title,sample_description,collection_date,location,country,study_accession,sample_accession,instrument_platform,instrument_model,library_strategy,library_source,library_selection,read_count,fastq_1,fastq_2
ERR14222208,9913,Bos taurus,RM5403a,Holstein,blood sample,2024,,Switzerland,PRJEB83441,SAMEA117502265,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,945215988,ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/008/ERR14222208/ERR14222208_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/008/ERR14222208/ERR14222208_2.fastq.gz
ERR14222212,9913,Bos taurus,RM5420a,Holstein,blood sample,2024,,Switzerland,PRJEB83441,SAMEA117502267,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,680337902,ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/012/ERR14222212/ERR14222212_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/012/ERR14222212/ERR14222212_2.fastq.gz
ERR14080734,9913,Bos taurus,RM4836,Brown Swiss,blood sample,2022,,Switzerland,PRJEB83441,SAMEA117502188,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,594530136,ftp.sra.ebi.ac.uk/vol1/fastq/ERR140/034/ERR14080734/ERR14080734_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR140/034/ERR14080734/ERR14080734_2.fastq.gz
ERR14221788,9913,Bos taurus,RM5130a,Holstein,blood sample,2024,,Switzerland,PRJEB83441,SAMEA117502259,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,794523816,ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/088/ERR14221788/ERR14221788_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/088/ERR14221788/ERR14221788_2.fastq.gz
ERR14221724,9913,Bos taurus,RM5129a,Holstein,blood sample,2024,,Switzerland,PRJEB83441,SAMEA117502258,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,668724772,ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/024/ERR14221724/ERR14221724_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/024/ERR14221724/ERR14221724_2.fastq.gz
SRR8437807,72542,Capra ibex,ib.VS0081_wh,Model organism or animal sample from Capra ibex,Model organism or animal sample from Capra ibex,,,,PRJNA514886,SAMN10736147,ILLUMINA,Illumina HiSeq 2500,WGS,GENOMIC,RANDOM,240031870,ftp.sra.ebi.ac.uk/vol1/fastq/SRR843/007/SRR8437807/SRR8437807_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR843/007/SRR8437807/SRR8437807_2.fastq.gz
SRR8437808,72542,Capra ibex,ib.VS0079_wh,Model organism or animal sample from Capra ibex,Model organism or animal sample from Capra ibex,,,,PRJNA514886,SAMN10736146,ILLUMINA,Illumina HiSeq 2500,WGS,GENOMIC,RANDOM,249096011,ftp.sra.ebi.ac.uk/vol1/fastq/SRR843/008/SRR8437808/SRR8437808_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR843/008/SRR8437808/SRR8437808_2.fastq.gz
SRR8437776,72542,Capra ibex,ib.BE0283_br,Model organism or animal sample from Capra ibex,Model organism or animal sample from Capra ibex,,,,PRJNA514886,SAMN10736126,ILLUMINA,Illumina HiSeq 4000,WGS,GENOMIC,RANDOM,260684851,ftp.sra.ebi.ac.uk/vol1/fastq/SRR843/006/SRR8437776/SRR8437776_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR843/006/SRR8437776/SRR8437776_2.fastq.gz
SRR8437796,72542,Capra ibex,ib.GPV05C_gp,Model organism or animal sample from Capra ibex,Model organism or animal sample from Capra ibex,,,,PRJNA514886,SAMN10736133,ILLUMINA,Illumina HiSeq 4000,WGS,GENOMIC,RANDOM,228368574,ftp.sra.ebi.ac.uk/vol1/fastq/SRR843/006/SRR8437796/SRR8437796_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR843/006/SRR8437796/SRR8437796_2.fastq.gz
SRR8437811,72542,Capra ibex,ib.OW0002_br,Model organism or animal sample from Capra ibex,Model organism or animal sample from Capra ibex,,,,PRJNA514886,SAMN10736143,ILLUMINA,Illumina HiSeq 4000,WGS,GENOMIC,RANDOM,238227006,ftp.sra.ebi.ac.uk/vol1/fastq/SRR843/001/SRR8437811/SRR8437811_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR843/001/SRR8437811/SRR8437811_2.fastq.gz
