run_accession,tax_id,scientific_name,study_accession,sample_accession,instrument_platform,instrument_model,library_strategy,library_source,library_selection,read_count,fastq_ftp
ERR14064512,9913,Bos taurus,PRJEB83441,SAMEA117502137,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,604666948,ftp.sra.ebi.ac.uk/vol1/fastq/ERR140/012/ERR14064512/ERR14064512_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR140/012/ERR14064512/ERR14064512_2.fastq.gz
ERR14064021,9913,Bos taurus,PRJEB83441,SAMEA117502164,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,597915772,ftp.sra.ebi.ac.uk/vol1/fastq/ERR140/021/ERR14064021/ERR14064021_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR140/021/ERR14064021/ERR14064021_2.fastq.gz
ERR14080734,9913,Bos taurus,PRJEB83441,SAMEA117502188,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,594530136,ftp.sra.ebi.ac.uk/vol1/fastq/ERR140/034/ERR14080734/ERR14080734_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR140/034/ERR14080734/ERR14080734_2.fastq.gz
ERR14066859,9913,Bos taurus,PRJEB83441,SAMEA117502199,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,593545412,ftp.sra.ebi.ac.uk/vol1/fastq/ERR140/059/ERR14066859/ERR14066859_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR140/059/ERR14066859/ERR14066859_2.fastq.gz
SRR8437802,72542,Capra ibex,PRJNA514886,SAMN10736139,ILLUMINA,Illumina HiSeq 4000,WGS,GENOMIC,RANDOM,226856696,ftp.sra.ebi.ac.uk/vol1/fastq/SRR843/002/SRR8437802/SRR8437802_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR843/002/SRR8437802/SRR8437802_2.fastq.gz
SRR8437810,72542,Capra ibex,PRJNA514886,SAMN10736140,ILLUMINA,Illumina HiSeq 4000,WGS,GENOMIC,RANDOM,225432920,ftp.sra.ebi.ac.uk/vol1/fastq/SRR843/000/SRR8437810/SRR8437810_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR843/000/SRR8437810/SRR8437810_2.fastq.gz
SRR8437801,72542,Capra ibex,PRJNA514886,SAMN10736138,ILLUMINA,Illumina HiSeq 2500,WGS,GENOMIC,RANDOM,224558986,ftp.sra.ebi.ac.uk/vol1/fastq/SRR843/001/SRR8437801/SRR8437801_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR843/001/SRR8437801/SRR8437801_2.fastq.gz
SRR8437777,72542,Capra ibex,PRJNA514886,SAMN10736127,ILLUMINA,Illumina HiSeq 4000,WGS,GENOMIC,RANDOM,223593437,ftp.sra.ebi.ac.uk/vol1/fastq/SRR843/007/SRR8437777/SRR8437777_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR843/007/SRR8437777/SRR8437777_2.fastq.gz
SRR8437783,72542,Capra ibex,PRJNA514886,SAMN10736129,ILLUMINA,Illumina HiSeq 4000,WGS,GENOMIC,RANDOM,223409638,ftp.sra.ebi.ac.uk/vol1/fastq/SRR843/003/SRR8437783/SRR8437783_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR843/003/SRR8437783/SRR8437783_2.fastq.gz
SRR8437776,72542,Capra ibex,PRJNA514886,SAMN10736126,ILLUMINA,Illumina HiSeq 4000,WGS,GENOMIC,RANDOM,260684851,ftp.sra.ebi.ac.uk/vol1/fastq/SRR843/006/SRR8437776/SRR8437776_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR843/006/SRR8437776/SRR8437776_2.fastq.gz
